,allTopoSortsNumber,recursiveLongestTime,recursiveShortestTime,recursiveAverageTime,biggestEquivClasses,smallestEquivClasses,averageEquivClasses
"2 Levels, 2 Branching",2,0.00016760826110839844,0.0001537799835205078,0.00016069412231445312,2,1,1.5
"3 Levels, 2 Branching",80,0.0008585453033447266,0.00022363662719726562,0.0005029042561848959,10,1,5.333333333333333
"4 Levels, 2 Branching",21964800,0.03200531005859375,0.0002911090850830078,0.012063086032867432,260,1,104.25
"5 Levels, 2 Branching",74836825861835980800000,16.534360885620117,0.00042319297790527344,5.207830810546875,176020,1,56462.0
"6 Levels, 2 Branching",2606654998899867556195703676289609067340669424836280320000000000,,,,80675246600,1,21565190383.5
