,allTopoSortsNumber,recursiveLongestTime,recursiveShortestTime,recursiveAverageTime,biggestEquivClasses,smallestEquivClasses,averageEquivClasses,Nodes number,Toposorts estimated time
Empty result,0,0.0,0.0,0.0,0,0,0.0,0,0.0
Child result,741015475200,0.3403990268707275,0.0002644062042236,0.134866201877594,3840,1,2003.3,19,12360953.24464311
