,allTopoSortsNumber,recursiveLongestTime,recursiveShortestTime,recursiveAverageTime,biggestEquivClasses,smallestEquivClasses,averageEquivClasses,Nodes number,Toposorts estimated time
"19 Children, 10 PathLength",7638095854670561280000,12.67024540901184,8.577166557312012,11.52971774339676,131072,131072,131072.0,29,1.1777715432775336e+17
"10 Children, 19 PathLength",125318793600,0.0318830013275146,0.0242681503295898,0.0282887816429138,256,256,256.0,29,2033736.0415543169
"11 Children, 18 PathLength",2506375872000,0.0997812747955322,0.0389091968536376,0.0534215569496154,512,512,512.0,29,40605544.859131396
"15 Children, 14 PathLength",233153109116928000,0.75191330909729,0.4921369552612304,0.6747206449508667,8192,8192,8192.0,29,3487970744897.591
"18 Children, 11 PathLength",636507987889213440000,5.917786598205566,4.380908727645874,5.685831815004349,65536,65536,65536.0,29,1.0189984314543338e+16
"14 Children, 15 PathLength",14572069319808000,0.3821878433227539,0.275301456451416,0.349240630865097,4096,4096,4096.0,29,217960284205.452
"13 Children, 16 PathLength",857180548224000,0.2208268642425537,0.1135361194610595,0.1725539267063141,2048,2048,2048.0,29,13213610444.15986
"16 Children, 13 PathLength",3497296636753920000,1.4484350681304932,0.9863924980163574,1.3498710691928864,16384,16384,16384.0,29,51303596525516.12
"12 Children, 17 PathLength",47621141568000,0.143599271774292,0.0647971630096435,0.0972035229206085,1024,1024,1024.0,29,709069273.924541
"10 Children, 20 PathLength",173059286400,0.04191255569458,0.0247371196746826,0.0304907262325286,256,256,256.0,30,2827857.963095345
"13 Children, 17 PathLength",1381013105472000,0.2341315746307373,0.1235609054565429,0.1792152822017669,2048,2048,2048.0,30,23860041003.202415
"14 Children, 16 PathLength",24858235898496000,0.3758127689361572,0.2783143520355224,0.3459855020046234,4096,4096,4096.0,30,391544584233.7079
"11 Children, 19 PathLength",3634245014400,0.1066398620605468,0.048426866531372,0.0591026842594146,512,512,512.0,30,54821859.210820645
"12 Children, 18 PathLength",72684900288000,0.1387300491333007,0.0730931758880615,0.0946218073368072,1024,1024,1024.0,30,1100173187.4521189
"15 Children, 15 PathLength",422590010274432000,0.738196611404419,0.5006122589111328,0.6831024587154388,8192,8192,8192.0,30,6100129480816.83
"20 Children, 10 PathLength",221504779785446277120000,26.3085036277771,18.53619074821472,24.039384931325912,262144,262144,262144.0,30,3.415426722271632e+18
"19 Children, 11 PathLength",18458731648787189760000,12.654815912246704,8.648741960525513,11.597374469041824,131072,131072,131072.0,30,2.963235752078672e+17
"18 Children, 12 PathLength",1419902434522091520000,6.103654861450195,4.391599655151367,5.762182235717773,65536,65536,65536.0,30,2.3540989855288716e+16
"16 Children, 14 PathLength",6761440164390912000,1.4709241390228271,0.9908595085144044,1.3706377744674685,16384,16384,16384.0,30,98948274398497.34
"17 Children, 13 PathLength",101421602465863680000,4.026220798492432,2.7302732467651367,3.544798880815506,32768,32768,32768.0,30,1524163943119082.0
"14 Children, 17 PathLength",41430393164160000,0.386589765548706,0.2905571460723877,0.3608208894729614,4096,4096,4096.0,31,703401113655.4095
"15 Children, 16 PathLength",745747076954880000,0.7749800682067871,0.494558572769165,0.7095212936401367,8192,8192,8192.0,31,10895216391325.19
"13 Children, 18 PathLength",2180547008640000,0.2335448265075683,0.1190941333770752,0.1874788999557495,2048,2048,2048.0,31,35056002278.75626
"17 Children, 14 PathLength",202843204931727360000,3.662933111190796,2.3974008560180664,3.358967274427414,32768,32768,32768.0,31,3018043395377860.5
"16 Children, 15 PathLength",12677700308232960000,1.5121655464172363,1.0291483402252195,1.409850925207138,16384,16384,16384.0,31,183048256344484.0
"18 Children, 13 PathLength",3042648073975910400000,6.10608983039856,4.396718502044678,5.785319089889526,65536,65536,65536.0,31,4.814443204640505e+16
"11 Children, 20 PathLength",5191778592000,0.064260721206665,0.0441272258758544,0.0526900887489318,512,512,512.0,31,81203570.58419353
"19 Children, 12 PathLength",42597073035662745600000,12.182814121246338,8.851438999176025,11.5799458026886,131072,131072,131072.0,31,6.065269866652913e+17
"20 Children, 11 PathLength",553761949463615692800000,25.45066738128662,18.102570295333862,23.98979049921036,262144,262144,262144.0,31,9.482564800995305e+18
"12 Children, 19 PathLength",109027350432000,0.1450192928314209,0.0904021263122558,0.1037232279777526,1024,1024,1024.0,31,1728770376.7040465
"18 Children, 14 PathLength",6288139352883548160000,6.0935797691345215,4.403478145599365,5.81249463558197,65536,65536,65536.0,32,9.673045396733077e+16
"20 Children, 12 PathLength",1320509264105545113600000,25.38482093811035,18.14222478866577,24.15443015098572,262144,262144,262144.0,32,2.336522560615892e+19
"19 Children, 13 PathLength",94322090293253222400000,12.404588222503662,8.588226556777954,11.641916066408156,131072,131072,131072.0,32,1.3295265502604413e+18
"14 Children, 18 PathLength",67596957267840000,0.3887057304382324,0.2878592014312744,0.3646850883960724,4096,4096,4096.0,32,1212202850633.896
"12 Children, 20 PathLength",160945136352000,0.1447415351867675,0.0824599266052246,0.0994609594345092,1024,1024,1024.0,32,2600390729.3520365
"17 Children, 15 PathLength",393008709555221760000,3.34551739692688,2.208364486694336,3.05884125828743,32768,32768,32768.0,32,5877091934982597.0
"15 Children, 17 PathLength",1284342188088960000,0.7695140838623047,0.4942255020141601,0.7023575901985168,8192,8192,8192.0,32,19963816263400.684
