,allTopoSortsNumber,recursiveLongestTime,recursiveShortestTime,recursiveAverageTime,biggestEquivClasses,smallestEquivClasses,averageEquivClasses,Nodes number,Toposorts estimated time
"2 Levels, 2 Branching",2,0.0001709461212158,0.0001592636108398,0.0001651048660278,2,1,1.5,3,9.879999561235309e-08
"3 Levels, 2 Branching",80,0.0007963180541992,0.000159740447998,0.0004386107126871,10,1,5.333333333333333,7,0.00010635200014803558
"4 Levels, 2 Branching",21964800,0.0319907665252685,0.0002632141113281,0.0112479329109191,260,1,104.25,15,361.8064040567726
"5 Levels, 2 Branching",74836825861835980800000,12.28958773612976,0.0003705024719238,3.994793081283569,176020,1,56462.0,31,1.240622448104583e+18
"6 Levels, 2 Branching",2606654998899867556195703676289609067340669424836280320000000000,,,,80675246600,1,21565190383.5,63,3.939333433180435e+58
