Feature,Pollution value, ASV,Shapley
Xray,high,0.0,0.0030288583560698057
Xray,low,0.0,-0.0030288583560697654
Smoker,high,0.0019500000000000003,-2.0070589421183264e-06
Smoker,low,-0.003149999999999764,2.0070589419696823e-06
Dyspnoea,high,0.0,0.0008767187329015
Dyspnoea,low,0.0,-0.0008767187329014635
Cancer,high,-0.0105,-0.006845186796496254
Cancer,low,0.010499999999999843,0.0068451867964962115
Sum,[-0.00855  0.00735],[-0.00294162  0.00294162]
